"t","x1","x2"
10.35,3.68723379925443,0.146639130264614
10.4,3.69455726399029,0.146299971587528
10.45,3.70186383217798,0.14596326316759
10.5,3.70915362557694,0.145628974958899
10.55,3.71642676445738,0.14529707743636
10.6,3.72368336762602,0.144967541584008
10.65,3.7309235524513,0.144640338883666
10.7,3.73814743488793,0.144315441303901
10.75,3.74535512950103,0.143992821289287
10.8,3.75254674948961,0.143672451749956
10.85,3.75972240670962,0.143354306051429
10.9,3.76688221169646,0.143038358004724
10.95,3.77402627368702,0.142724581856721
11,3.78115470064124,0.142412952280788
11.05,3.78826759926319,0.142103444367651
11.1,3.79536507502173,0.141796033616505
11.15,3.80244723217072,0.141490695926356
11.2,3.80951417376878,0.141187407587588
11.25,3.81656600169867,0.140886145273751
11.3,3.82360281668623,0.140586886033554
11.35,3.83062471831895,0.140289607283072
11.4,3.83763180506417,0.139994286798142
11.45,3.84462417428684,0.139700902706957
11.5,3.85160192226699,0.139409433482849
11.55,3.85856514421679,0.139119857937246
11.6,3.8655139342973,0.138832155212815
11.65,3.87244838563485,0.138546304776764
11.7,3.87936859033711,0.138262286414321
11.75,3.88627463950882,0.137980080222366
11.8,3.89316662326724,0.137699666603222
11.85,3.90004463075725,0.137421026258601
11.9,3.90690875016617,0.137144140183688
11.95,3.91375906873831,0.136868989661377
12,3.92059567278919,0.136595556256644
12.05,3.92741864771951,0.136323821811052
12.1,3.93422807802888,0.136053768437388
12.15,3.94102404732918,0.13578537851443
12.2,3.9478066383578,0.135518634681834
12.25,3.95457593299053,0.135253519835147
12.3,3.96133201225422,0.13499001712093
12.35,3.96807495633923,0.134728109931997
12.4,3.97480484461162,0.134467781902773
12.45,3.98152175562512,0.134209016904742
12.5,3.98822576713286,0.133951799042021
12.55,3.99491695609891,0.133696112647014
12.6,4.00159539870958,0.133441942276187
12.65,4.00826117038451,0.133189272705917
12.7,4.01491434578757,0.132938088928455
12.75,4.02155499883757,0.132688376147967
12.8,4.02818320271874,0.132440119776666
12.85,4.03479902989103,0.132193305431037
12.9,4.04140255210027,0.13194791892814
12.95,4.04799384038805,0.131703946281994
13,4.05457296510154,0.131461373700047
13.05,4.06113999590302,0.131220187579716
13.1,4.06769500177935,0.130980374505011
13.15,4.07423805105116,0.130741921243225
13.2,4.08076921138196,0.130504814741701
13.25,4.08728854978709,0.130269042124666
13.3,4.09379613264242,0.130034590690134
13.35,4.10029202569303,0.129801447906879
13.4,4.10677629406163,0.129569601411465
13.45,4.11324900225691,0.129339039005347
13.5,4.11971021418167,0.129109748652028
13.55,4.1261599931409,0.12888171847428
13.6,4.13259840184964,0.12865493675142
13.65,4.13902550244076,0.128429391916646
13.7,4.14544135647258,0.128205072554427
13.75,4.15184602493638,0.127981967397945
13.8,4.15823956826375,0.127760065326597
13.85,4.16462204633385,0.12753935536354
