"Time","Enterobacterales_A_737866","Veillonellales","Pseudomonadales_660879","Rhizobiales_A_504705","Lactobacillales","Burkholderiales_592522","Bacteroidales","Lachnospirales","Oscillospirales","Erysipelotrichales","Acidaminococcales","Coriobacteriales","Clostridia_258483_Class","UBA1381","Actinomycetales","Christensenellales","RF39","Xanthomonadales_616009","Gammaproteobacteria_Class","Monoglobales","Verrucomicrobiales","Bacteria_Kingdom","Clostridiales","Peptostreptococcales","Tissierellales","TANB77","Selenomonadales"
115,0,0.000111111111111111,0,0,0,0,0.844833333333333,0.0357222222222222,0.0924444444444444,0,0.0171666666666667,0.001,0.00127777777777778,0.000833333333333333,0,0.000222222222222222,0.000222222222222222,0,0,0,0.00105555555555556,0.00161111111111111,0.000166666666666667,0.000277777777777778,0,0.00294444444444444,0
116,0,0,0.00438888888888889,0.000888888888888889,0,0.0150555555555556,0.632888888888889,0.0740555555555556,0.237722222222222,0.00127777777777778,0.0102777777777778,0.00455555555555556,0.00161111111111111,0.00211111111111111,0,0.000722222222222222,0.000611111111111111,0.00344444444444444,0.00111111111111111,0.000222222222222222,0.00238888888888889,0.00155555555555556,0.000111111111111111,5e-04,0,0.0035,0
117,0.000722222222222222,0,0.00138888888888889,0.000277777777777778,0,0.00916666666666667,0.735833333333333,0.0408333333333333,0.180444444444444,5e-04,0.0147777777777778,0.00194444444444444,0.00233333333333333,0.000944444444444444,0,0.000388888888888889,0.000388888888888889,0.00127777777777778,0.000333333333333333,0.000222222222222222,0.00216666666666667,0.00233333333333333,0,0.000388888888888889,0,0.00294444444444444,0
118,0.000555555555555556,0,0,0,0,0.00377777777777778,0.804777777777778,0.0227222222222222,0.138666666666667,0.000222222222222222,0.0172777777777778,5.55555555555556e-05,0.00205555555555556,0.000388888888888889,0,0.000611111111111111,0.000277777777777778,0,0,0.000166666666666667,0.00211111111111111,0.00211111111111111,5.55555555555556e-05,0.000555555555555556,0,0.00361111111111111,0
119,0,0,0,0,0,0,0.698555555555556,0.014,0.260388888888889,0.000333333333333333,0.0171666666666667,0.000277777777777778,0.00105555555555556,0.000222222222222222,0,0.000277777777777778,0.00111111111111111,0,0,0.000166666666666667,0.00188888888888889,0.00172222222222222,0,0.000222222222222222,0,0.00261111111111111,0
120,5.55555555555556e-05,0,0,0,5.55555555555556e-05,0,0.832944444444444,0.0723333333333333,0.0690555555555556,0.000555555555555556,0.0135555555555556,0.00238888888888889,0.000333333333333333,0.001,0,0.000277777777777778,0.000388888888888889,0,0,0.000277777777777778,0.00283333333333333,0.00111111111111111,0,0.000833333333333333,0,0.00194444444444444,0
121,0,0,0,0.00116666666666667,5.55555555555556e-05,0.00238888888888889,0.763555555555556,0.0863888888888889,0.111,0.00122222222222222,0.0156666666666667,0.003,0.0015,0.00177777777777778,0,0.000722222222222222,0.000388888888888889,0,0,5.55555555555556e-05,0.00638888888888889,0.0025,0,0.000666666666666667,0,0.0015,0
122,0,0,0,0,0.000111111111111111,0,0.495944444444444,0.167666666666667,0.275833333333333,0.00683333333333333,0.0101111111111111,0.0128888888888889,0.00566666666666667,0.007,0,0.00111111111111111,0.001,0,0,0.000777777777777778,0.00872222222222222,0.00261111111111111,0,0.00211111111111111,0,0.00155555555555556,0
123,0,0,5.55555555555556e-05,0,0.000277777777777778,0.000111111111111111,0.5045,0.146,0.273055555555556,0.00666666666666667,0.0153888888888889,0.0112777777777778,0.00594444444444444,0.0065,0,0.00216666666666667,0.00294444444444444,0,0,0.000888888888888889,0.0188333333333333,0.00261111111111111,0,0.00188888888888889,0,0.000833333333333333,0
124,0,0,0.000833333333333333,0,0.000611111111111111,0.000944444444444444,0.489277777777778,0.161833333333333,0.277166666666667,0.00705555555555556,0.0136666666666667,0.0112777777777778,0.00655555555555556,0.00461111111111111,0,0.00205555555555556,0.00172222222222222,0,0,0.00155555555555556,0.0144444444444444,0.00338888888888889,5.55555555555556e-05,0.00144444444444444,0,0.00122222222222222,0
125,0,0,0.00122222222222222,0,0.000777777777777778,0.00238888888888889,0.481611111111111,0.166555555555556,0.283611111111111,0.00844444444444444,0.0131666666666667,0.0107777777777778,0.00516666666666667,0.00416666666666667,0,0.003,0.00105555555555556,0,0,0.00161111111111111,0.00738888888888889,0.00411111111111111,0,0.0015,0,0.00288888888888889,0
126,0,0,0.00194444444444444,0,0.000333333333333333,0.00677777777777778,0.549111111111111,0.152333333333333,0.220777777777778,0.00438888888888889,0.0256666666666667,0.00783333333333333,0.00327777777777778,0.00194444444444444,0,0.00177777777777778,0.00266666666666667,0,5.55555555555556e-05,0.000944444444444444,0.00733333333333333,0.00466666666666667,5.55555555555556e-05,0.000722222222222222,0,0.00388888888888889,0
127,0,0,0.00283333333333333,0,0.000111111111111111,0.0065,0.628222222222222,0.131333333333333,0.160777777777778,0.00116666666666667,0.0335,0.00361111111111111,0.00255555555555556,0.00116666666666667,0,0.000444444444444444,0.00472222222222222,0,0.000111111111111111,0.000166666666666667,0.00572222222222222,0.00466666666666667,0,0.000444444444444444,0,0.00544444444444444,0
128,0,0,0.000111111111111111,0,0.000166666666666667,0.000277777777777778,0.625222222222222,0.126,0.185944444444444,0.001,0.0235,0.00383333333333333,0.00388888888888889,0.00266666666666667,0,0.00311111111111111,0.00505555555555556,0,0,0.000333333333333333,0.00694444444444444,0.00316666666666667,0,0.000888888888888889,0,0.00755555555555556,0
129,0,0,0.000111111111111111,0,0.000166666666666667,0,0.516555555555556,0.147833333333333,0.280111111111111,0.00383333333333333,0.0160555555555556,0.00866666666666667,0.00377777777777778,0.0075,0,0.00233333333333333,0.000722222222222222,0,0,0.000722222222222222,0.00394444444444444,0.0025,0,0.00122222222222222,0,0.00388888888888889,0
130,0,0,0,0,0.000388888888888889,0,0.465,0.169888888888889,0.307944444444444,0.00888888888888889,0.00727777777777778,0.00783333333333333,0.00527777777777778,0.00766666666666667,0,0.00294444444444444,0.00194444444444444,0,0,0.00194444444444444,0.00572222222222222,0.00211111111111111,0,0.00194444444444444,0,0.00316666666666667,0
131,5.55555555555556e-05,0.000111111111111111,5.55555555555556e-05,0,0.000222222222222222,0.000111111111111111,0.456888888888889,0.191888888888889,0.28,0.00905555555555555,0.0166666666666667,0.0125555555555556,0.00438888888888889,0.00544444444444444,0,0.00188888888888889,0.00327777777777778,0,0,0.00122222222222222,0.0095,0.00294444444444444,0,0.00194444444444444,5.55555555555556e-05,0.00144444444444444,0
132,0.000277777777777778,0,5.55555555555556e-05,0,5e-04,5.55555555555556e-05,0.459611111111111,0.180388888888889,0.293,0.009,0.0155,0.0104444444444444,0.00416666666666667,0.00527777777777778,0,0.00172222222222222,0.00372222222222222,0,0,0.00122222222222222,0.00822222222222222,0.00361111111111111,0,0.00144444444444444,0,0.00166666666666667,0
133,0,0,0,0,0.000166666666666667,0.000388888888888889,0.460722222222222,0.155722222222222,0.321777777777778,0.00733333333333333,0.0143333333333333,0.0102222222222222,0.00461111111111111,0.00522222222222222,0,0.00161111111111111,0.00311111111111111,0,0.000277777777777778,0.000888888888888889,0.008,0.00261111111111111,0,0.00105555555555556,0,0.00177777777777778,0
134,5.55555555555556e-05,5.55555555555556e-05,5.55555555555556e-05,0,0.000333333333333333,0.000388888888888889,0.460055555555556,0.133277777777778,0.350777777777778,0.00466666666666667,0.0131111111111111,0.00933333333333333,0.00411111111111111,0.00477777777777778,0,0.00166666666666667,0.00311111111111111,0,0.000333333333333333,0.000611111111111111,0.00733333333333333,0.00322222222222222,0,0.000666666666666667,0,0.00183333333333333,0
135,5.55555555555556e-05,0,5.55555555555556e-05,0,0.000277777777777778,5e-04,0.459277777777778,0.113444444444444,0.3745,0.00261111111111111,0.0117222222222222,0.00966666666666667,0.00477777777777778,0.00505555555555556,0,0.00122222222222222,0.00305555555555556,0,0.000333333333333333,0.000277777777777778,0.00633333333333333,0.00333333333333333,0,0.000944444444444444,0,0.00238888888888889,0
136,0,0,5.55555555555556e-05,0,0.000444444444444444,0.000888888888888889,0.465944444444444,0.105111111111111,0.377444444444444,0.002,0.0113888888888889,0.00872222222222222,0.00533333333333333,0.00438888888888889,0,0.00122222222222222,0.003,0,0.000333333333333333,0.000222222222222222,0.006,0.00422222222222222,0,0.000833333333333333,0,0.00233333333333333,0
137,0,0,0,0.000888888888888889,0.000444444444444444,0.00172222222222222,0.449888888888889,0.156166666666667,0.313166666666667,0.0102222222222222,0.0142777777777778,0.0116666666666667,0.00666666666666667,0.00305555555555556,0,0.00283333333333333,0.00527777777777778,0,0.000111111111111111,0.000333333333333333,0.0143888888888889,0.00394444444444444,0,0.00105555555555556,0,0.00222222222222222,0
138,0,0,0.000611111111111111,0,0.00133333333333333,0.00122222222222222,0.745222222222222,0.0498888888888889,0.162111111111111,0.000722222222222222,0.0179444444444444,0,0.00333333333333333,0.000222222222222222,0,0.000388888888888889,0.00161111111111111,0,0.000888888888888889,5.55555555555556e-05,0.00411111111111111,0.00311111111111111,0.000111111111111111,0.00116666666666667,0,0.00283333333333333,0
139,0.000333333333333333,0.000166666666666667,0,0,0.000944444444444444,0,0.611333333333333,0.100611111111111,0.204888888888889,0.00183333333333333,0.0379444444444444,0.00455555555555556,0.00322222222222222,0.00205555555555556,0,0.000722222222222222,0.00738888888888889,0,0.000722222222222222,0.000611111111111111,0.00683333333333333,0.00805555555555556,0,0.00144444444444444,0,0.00611111111111111,0
140,0,0,5e-04,0,0.00311111111111111,0.000833333333333333,0.357444444444444,0.213611111111111,0.298333333333333,0.0161111111111111,0.0233333333333333,0.0241666666666667,0.0102222222222222,0.00538888888888889,0,0.00294444444444444,0.00555555555555556,0,0.000444444444444444,0.00277777777777778,0.0232222222222222,0.00294444444444444,0,0.00411111111111111,5.55555555555556e-05,0.00394444444444444,0
141,0,0,0,0,0.005,5.55555555555556e-05,0.363944444444444,0.1795,0.317722222222222,0.0123888888888889,0.0201666666666667,0.0183333333333333,0.00872222222222222,0.000666666666666667,0,0.0045,0.00733333333333333,0,0.000388888888888889,0.00294444444444444,0.0471111111111111,0.00361111111111111,0.000166666666666667,0.00394444444444444,5.55555555555556e-05,0.00333333333333333,0
142,0,0,0,5.55555555555556e-05,0.000333333333333333,0.000388888888888889,0.511388888888889,0.135777777777778,0.277611111111111,0.00511111111111111,0.0233888888888889,0.0157777777777778,0.00372222222222222,0.00427777777777778,0,0.00144444444444444,0.00438888888888889,0.000666666666666667,0.000111111111111111,0.000777777777777778,0.0085,0.00188888888888889,0,0.000666666666666667,0,0.00316666666666667,0
143,0,5.55555555555556e-05,0.000222222222222222,0,0.000222222222222222,0.000777777777777778,0.604944444444445,0.107166666666667,0.207,0.003,0.0258888888888889,0.0143888888888889,0.00205555555555556,0.00372222222222222,0.000111111111111111,0.000944444444444444,0.00222222222222222,0.001,0.000833333333333333,0.00105555555555556,0.0132222222222222,0.00344444444444444,0,0.00133333333333333,0,0.00605555555555556,0
144,0.000222222222222222,0.000555555555555556,0,0,0.000166666666666667,0.000555555555555556,0.682277777777778,0.0647222222222222,0.173277777777778,0.00155555555555556,0.0381111111111111,0.00505555555555556,0.00327777777777778,0.00294444444444444,0,5e-04,0.00505555555555556,0,0.000611111111111111,0.000277777777777778,0.00772222222222222,0.00366666666666667,5.55555555555556e-05,0.00127777777777778,0.000111111111111111,0.00422222222222222,0
145,0.000111111111111111,5e-04,0,0,0.000111111111111111,0.00105555555555556,0.675777777777778,0.0712777777777778,0.177833333333333,0.00177777777777778,0.0363333333333333,0.00444444444444444,0.00277777777777778,0.00311111111111111,0,0.000666666666666667,0.004,0,5e-04,5.55555555555556e-05,0.00666666666666667,0.00455555555555556,0,0.00111111111111111,0.000222222222222222,0.00405555555555556,0
146,5.55555555555556e-05,0.000333333333333333,0,0,0.000166666666666667,0.00155555555555556,0.669944444444444,0.0840555555555556,0.190166666666667,0.00183333333333333,0.0257777777777778,0.00433333333333333,0.00161111111111111,0.00322222222222222,0,0.000333333333333333,0.00322222222222222,0,0.000333333333333333,0.000166666666666667,0.00444444444444444,0.00311111111111111,0,0.000833333333333333,0,0.00288888888888889,0
