"Time","Pasteurellaceae","Veillonellaceae","Streptococcaceae","Moraxellaceae","Caulobacteraceae","Bacteroidaceae","Lactobacillaceae","Burkholderiaceae_A_592522","Ruminococcaceae","Lachnospiraceae","Coprobacillaceae","Peptostreptococcaceae_256921","Acutalibacteraceae","Acidaminococcaceae","Butyricicoccaceae","Eggerthellaceae","Muribaculaceae","UBA1381","Rikenellaceae","Bifidobacteriaceae","CAG-274","Clostridiaceae_222000","Desulfovibrionaceae","Anaerovoracaceae","Peptoniphilaceae","Enterobacteriaceae_A","Tannerellaceae","Bacteria_Kingdom","Gammaproteobacteria_Class","Oscillospiraceae_88309","Anaerotignaceae","Turicibacteraceae","Clostridia_258483_Class","Fusobacteriaceae_993521","Erysipelotrichaceae","Oscillospirales_Order","Burkholderiaceae_A_595427"
307,0.000111111111111111,0.0025,0.00255555555555556,0.000111111111111111,0,0.0546666666666667,0.000277777777777778,0.001,0.2945,0.263555555555556,0.166111111111111,0.00655555555555555,0.0887777777777778,0.00677777777777778,0.0383888888888889,0.0348888888888889,0.000611111111111111,0.00972222222222222,0.00222222222222222,0.00138888888888889,0,0.00211111111111111,5.55555555555556e-05,0.00116666666666667,0.00177777777777778,0,0.0015,0.0105,0,0.00127777777777778,0.000277777777777778,0,0.00266666666666667,0,0.00122222222222222,0.000611111111111111,0.000888888888888889
308,0.000111111111111111,0.000944444444444444,0.00105555555555556,0.000111111111111111,0,0.232555555555556,0.000166666666666667,0.00111111111111111,0.278888888888889,0.209944444444444,0.106,0.00422222222222222,0.052,0.0100555555555556,0.0340555555555556,0.0228333333333333,0.00133333333333333,0.00727777777777778,0.00244444444444444,0.000777777777777778,0,0.00205555555555556,0.00277777777777778,5e-04,0.000777777777777778,0,0.00872222222222222,0.00727777777777778,0,0.00577777777777778,0.000277777777777778,0,0.00138888888888889,0,0.00133333333333333,0.000555555555555556,0.00155555555555556
309,0.000277777777777778,0.000222222222222222,0.000666666666666667,0,0,0.421,0.000166666666666667,0.000666666666666667,0.253777777777778,0.147,0.0542777777777778,0.001,0.0162777777777778,0.0153888888888889,0.0268888888888889,0.00694444444444444,0.00372222222222222,0.00727777777777778,0.00188888888888889,5e-04,0,0.00161111111111111,0.00544444444444444,0.000333333333333333,0.000166666666666667,0,0.0163333333333333,0.00311111111111111,0,0.0106666666666667,0.000388888888888889,0,0.000166666666666667,0,0.001,0.000166666666666667,0.00211111111111111
310,0.00283333333333333,5e-04,0.0015,0,0,0.187944444444444,0.000944444444444444,0,0.279222222222222,0.170944444444444,0.0817777777777778,0.00177777777777778,0.115777777777778,0.0105555555555556,0.100722222222222,0.00955555555555555,0.0075,0.00861111111111111,0.00383333333333333,0.000388888888888889,0,0.000111111111111111,0.000222222222222222,0.000666666666666667,0.000166666666666667,0.00127777777777778,0.00144444444444444,0.00383333333333333,0,0.00427777777777778,0.000388888888888889,0,0.000611111111111111,0,0.000444444444444444,0.000111111111111111,0.000777777777777778
311,0.000388888888888889,0.00222222222222222,0.00438888888888889,0.001,5.55555555555556e-05,0.0160555555555556,0.00127777777777778,0.00455555555555556,0.150777777777778,0.3755,0.1935,0.00894444444444444,0.0572777777777778,0.00388888888888889,0.0595555555555556,0.00677777777777778,0.00161111111111111,0.0146666666666667,0.000444444444444444,0.00288888888888889,0,0.0716666666666667,0.00138888888888889,0.000888888888888889,0.000111111111111111,0.00838888888888889,0.00127777777777778,0.00494444444444444,0,0.00138888888888889,0.000277777777777778,5e-04,0.000388888888888889,0,0.00133333333333333,0,0.000333333333333333
312,0.001,0.00177777777777778,0.000166666666666667,0,0,0.524833333333333,0.000444444444444444,0,0.155833333333333,0.0797777777777778,0.0386111111111111,0.000222222222222222,0.0313333333333333,0.0397777777777778,0.0466111111111111,0.0111111111111111,0.0123333333333333,0.00505555555555556,0.00561111111111111,0.000444444444444444,0,0.000388888888888889,0.00333333333333333,0.000111111111111111,0.000444444444444444,0.000888888888888889,0.0232777777777778,0.00138888888888889,0,0.00777777777777778,0.000333333333333333,5.55555555555556e-05,0.000944444444444444,0,0.001,0.000388888888888889,0.004
313,0.000166666666666667,0.000333333333333333,5e-04,0.000666666666666667,0,0.264777777777778,0.000666666666666667,0.00333333333333333,0.228833333333333,0.232888888888889,0.0496666666666667,0.00105555555555556,0.0732777777777778,0.00783333333333333,0.022,0.0618333333333333,0.00566666666666667,0.0127777777777778,0.00411111111111111,0.00211111111111111,0,0.00266666666666667,0.000222222222222222,5e-04,0.000222222222222222,5e-04,0.00255555555555556,0.002,0,0.00633333333333333,5.55555555555556e-05,0.000111111111111111,0.00505555555555556,0,0.00144444444444444,0.00122222222222222,0.000555555555555556
314,0.00694444444444444,0.00166666666666667,0.000944444444444444,0.000277777777777778,0,0.350333333333333,0.00177777777777778,0,0.267055555555556,0.170111111111111,0.0332222222222222,0.00338888888888889,0.123444444444444,0.0103333333333333,0.007,0.00227777777777778,0.00305555555555556,0.00466666666666667,5e-04,0.000611111111111111,0,0.00277777777777778,5.55555555555556e-05,0.000222222222222222,0.000111111111111111,0,0.00188888888888889,0.000944444444444444,0,0.00255555555555556,0.000166666666666667,0.000222222222222222,0,0,0.00122222222222222,0,0.00155555555555556
315,0.0218888888888889,0.00238888888888889,0.00166666666666667,0.000111111111111111,0,0.486833333333333,0.000833333333333333,0.000333333333333333,0.172055555555556,0.104888888888889,0.0413333333333333,0.00472222222222222,0.0467222222222222,0.0349444444444444,0.0211666666666667,0.0135555555555556,0.00433333333333333,0.0137222222222222,0.00138888888888889,0.000555555555555556,0,0.000166666666666667,5.55555555555556e-05,0.000333333333333333,0.000277777777777778,0.000333333333333333,0.0133888888888889,0.000277777777777778,0.000166666666666667,0.00327777777777778,0.000388888888888889,0.000444444444444444,0.00222222222222222,0,0.00122222222222222,0.000777777777777778,0.00233333333333333
316,0.000222222222222222,0.00188888888888889,0.000555555555555556,0.000111111111111111,0,0.173222222222222,0.000388888888888889,5.55555555555556e-05,0.218888888888889,0.2575,0.177666666666667,0.00166666666666667,0.043,0.0189444444444444,0.0380555555555556,0.0146666666666667,0.00683333333333333,0.0208888888888889,0.000777777777777778,0.002,0,0,0.00161111111111111,0.000444444444444444,0.000555555555555556,5.55555555555556e-05,0.00561111111111111,0.001,0,0.00433333333333333,0.000833333333333333,0.000111111111111111,0.00288888888888889,0,0.00222222222222222,0.00133333333333333,0.00127777777777778
