"Time","Enterobacterales_A_737866","Veillonellales","Lactobacillales","Pseudomonadales_660879","Caulobacterales","Bacteroidales","Burkholderiales_592522","Oscillospirales","Lachnospirales","Erysipelotrichales","Peptostreptococcales","Acidaminococcales","Coriobacteriales","UBA1381","Actinomycetales","Clostridiales","Desulfovibrionales","Tissierellales","Bacteria_Kingdom","Campylobacterales","Gammaproteobacteria_Class","Haloplasmatales_A","Clostridia_258483_Class","Fusobacteriales_993521","Burkholderiales_595427"
53,0.0306111111111111,0.0312222222222222,0.00288888888888889,0.000222222222222222,0,0.141777777777778,0.000611111111111111,0.343111111111111,0.207166666666667,0.149333333333333,0.0766111111111111,0.00138888888888889,0.00461111111111111,0.0055,0.00338888888888889,0.000777777777777778,0,0.000111111111111111,0.000333333333333333,0,5.55555555555556e-05,0.000277777777777778,0,0,0
54,0.00361111111111111,0.00177777777777778,0.00727777777777778,0.000722222222222222,0,0.367277777777778,0.00277777777777778,0.391777777777778,0.159888888888889,0.025,5e-04,0.0118888888888889,0.00411111111111111,0.0158888888888889,0.00472222222222222,0.000166666666666667,5.55555555555556e-05,0.000222222222222222,0.000222222222222222,0,0.000611111111111111,5.55555555555556e-05,0.000277777777777778,0,0
55,0.00416666666666667,0.000944444444444444,0.011,0.000166666666666667,0,0.259722222222222,0.0015,0.287666666666667,0.327777777777778,0.0472777777777778,0.0195,0.00894444444444444,0.0055,0.0128333333333333,0.00572222222222222,0.00144444444444444,0.000666666666666667,0.000222222222222222,0.00122222222222222,0,0.000333333333333333,5.55555555555556e-05,0.00222222222222222,0,0
56,0.00322222222222222,0.00361111111111111,0.00222222222222222,0.000166666666666667,0,0.200888888888889,0,0.317888888888889,0.322,0.0767777777777778,0.0065,0.0167222222222222,0.0111666666666667,0.0325555555555556,0.00455555555555556,0,0.000277777777777778,0,0,0,0.000222222222222222,0.000277777777777778,0.000777777777777778,0,0
57,0.00261111111111111,0.00605555555555556,0.00222222222222222,0.000222222222222222,0,0.165333333333333,0.000277777777777778,0.436833333333333,0.230944444444444,0.104388888888889,0.00216666666666667,0.00983333333333333,0.0106111111111111,0.013,0.00294444444444444,0.00883333333333333,0.000166666666666667,0.000111111111111111,5.55555555555556e-05,0,0.000222222222222222,0.000222222222222222,0.00238888888888889,0,0
58,0.000944444444444444,0.000611111111111111,0.00366666666666667,0.000222222222222222,0,0.35,0.000555555555555556,0.373333333333333,0.175722222222222,0.0630555555555556,0.000555555555555556,0.0137777777777778,0.00705555555555556,0.00233333333333333,0.00377777777777778,0.000333333333333333,0.00144444444444444,0.000222222222222222,0.000222222222222222,0,0.00116666666666667,0,0.000833333333333333,0,0
59,0.0652222222222222,0.000611111111111111,0.00577777777777778,0.000666666666666667,0,0.166166666666667,0.000611111111111111,0.386833333333333,0.247444444444444,0.0741111111111111,0.00166666666666667,0.0117777777777778,0.0118333333333333,0.0136111111111111,0.0106111111111111,0,0.000611111111111111,0.000555555555555556,5.55555555555556e-05,0,0.000166666666666667,0,0.00133333333333333,0,0
60,0.021,0.00633333333333333,0.00594444444444444,0.000333333333333333,0,0.315277777777778,0,0.417388888888889,0.151388888888889,0.0395555555555556,0.00138888888888889,0.0152777777777778,0.00527777777777778,0.011,0.00622222222222222,5.55555555555556e-05,0.00127777777777778,0.000222222222222222,0.000333333333333333,0,0.000666666666666667,0,0.000888888888888889,5.55555555555556e-05,0
61,0.00366666666666667,0.00422222222222222,0.000833333333333333,0.000555555555555556,0,0.376611111111111,0.00111111111111111,0.429055555555556,0.124888888888889,0.0235555555555556,0.00105555555555556,0.0154444444444444,0.00733333333333333,0.00661111111111111,0.00405555555555556,0.000111111111111111,5.55555555555556e-05,0,5.55555555555556e-05,0,0.000388888888888889,0,0.000111111111111111,0,0
62,0.00433333333333333,0.00366666666666667,0.000666666666666667,0.000666666666666667,0,0.386944444444444,0.00144444444444444,0.435222222222222,0.118611111111111,0.0185555555555556,5e-04,0.0131111111111111,0.00688888888888889,0.00488888888888889,0.00377777777777778,0.000111111111111111,0,5.55555555555556e-05,5.55555555555556e-05,0,0.000277777777777778,0,0,0,0
