"Time","Lactobacillales","Bacteroidales","Oscillospirales","Lachnospirales","Acidaminococcales","Burkholderiales_595427","Erysipelotrichales","Desulfovibrionales","UBA1381","Clostridia_258483_Class","TANB77","Clostridiales","Gammaproteobacteria_Class","Haloplasmatales_A","Tissierellales","Mycobacteriales","Enterobacterales_A_737866","Veillonellales","Actinomycetales","Christensenellales","RF39","Verrucomicrobiales","Coriobacteriales","Peptostreptococcales","Campylobacterales","Bacteria_Kingdom","Saccharofermentanales","Fusobacteriales_993521"
358,5.55555555555556e-05,0.645888888888889,0.260388888888889,0.0476111111111111,0.0127777777777778,0.00783333333333333,0.00144444444444444,0.00388888888888889,0.000555555555555556,0.00116666666666667,0.00983333333333333,5e-04,0.00138888888888889,0,0.000222222222222222,0,0,0.000333333333333333,0.000111111111111111,0.00183333333333333,0.000111111111111111,0,0,0.000777777777777778,0.000222222222222222,0.00133333333333333,0,0
359,0.000111111111111111,0.7065,0.203333333333333,0.0466666666666667,0.0128888888888889,0.00627777777777778,0.00111111111111111,0.00255555555555556,0.000777777777777778,0.00111111111111111,0.0102777777777778,0.000388888888888889,0.0015,0,5.55555555555556e-05,0,5.55555555555556e-05,0.000166666666666667,5.55555555555556e-05,0.002,0.000722222222222222,0,0,0.000666666666666667,5.55555555555556e-05,0.00105555555555556,0,0
360,0.000388888888888889,0.767111111111111,0.141722222222222,0.0473888888888889,0.0116111111111111,0.00494444444444444,0.00116666666666667,0.00155555555555556,5e-04,0.000833333333333333,0.0125555555555556,0,0.0015,0.000111111111111111,0,0,0.000222222222222222,0.000277777777777778,0,0.00327777777777778,0.00138888888888889,0,0,0.000555555555555556,0,0.000944444444444444,0,0
361,0.000277777777777778,0.671722222222222,0.158944444444444,0.0496111111111111,0.0126666666666667,0.00627777777777778,0.00194444444444444,0.00261111111111111,0.000555555555555556,0.000944444444444444,0.0854444444444444,0.001,0.00144444444444444,0,0.001,0,0.000222222222222222,0,0,0.002,0.00138888888888889,0,0,0.000555555555555556,0.000166666666666667,0.00122222222222222,0,0
362,5.55555555555556e-05,0.609,0.148,0.0628333333333333,0.0197222222222222,0.00805555555555556,0.00238888888888889,0.00555555555555556,0.00272222222222222,0.00111111111111111,0.101111111111111,0.000388888888888889,0.00183333333333333,0,5.55555555555556e-05,0,0,0,0,0.0139444444444444,0.00294444444444444,0,0.000222222222222222,0.00172222222222222,5e-04,0.0176666666666667,0,0
363,0.000833333333333333,0.721722222222222,0.145777777777778,0.0491111111111111,0.0217222222222222,0.00505555555555556,0.00122222222222222,0.00211111111111111,0.000388888888888889,0.000777777777777778,0.0415555555555556,0.00111111111111111,0.00144444444444444,0,0.000111111111111111,0,0.000166666666666667,0.000166666666666667,0.000111111111111111,0.00166666666666667,0.00194444444444444,0,0.000166666666666667,5e-04,0,0.00233333333333333,0,0
364,0.00155555555555556,0.627611111111111,0.211888888888889,0.0593888888888889,0.0255555555555556,0.00666666666666667,0.00155555555555556,0.00227777777777778,0.000722222222222222,0.001,0.0462777777777778,0.00288888888888889,0.00155555555555556,0,0.000222222222222222,0,0.000222222222222222,0.000722222222222222,0,0.00238888888888889,0.00316666666666667,0,5.55555555555556e-05,0.000833333333333333,0.000166666666666667,0.00327777777777778,0,0
365,0.000888888888888889,0.703333333333333,0.158111111111111,0.0581111111111111,0.0214444444444444,0.00466666666666667,0.00194444444444444,0.00311111111111111,0.00116666666666667,0.00138888888888889,0.0335,0.0015,0.0015,5.55555555555556e-05,0.000222222222222222,0,0.000111111111111111,0.000277777777777778,0,0.00411111111111111,0.00166666666666667,0,0,0.000666666666666667,0.000277777777777778,0.00194444444444444,0,0
366,0.000222222222222222,0.786777777777778,0.100833333333333,0.0563333333333333,0.0155,0.00294444444444444,0.00233333333333333,0.00327777777777778,0.0015,0.00166666666666667,0.0194444444444444,0,0.00127777777777778,0.000166666666666667,0.000388888888888889,0,0,0,0,0.0055,0.000388888888888889,0,0,0.000666666666666667,0.000222222222222222,0.000555555555555556,0,0
367,0.000222222222222222,0.804833333333333,0.100833333333333,0.0523333333333333,0.00755555555555556,0.00255555555555556,0.0025,0.00294444444444444,0.00127777777777778,0.00105555555555556,0.0157222222222222,0.000222222222222222,0.00105555555555556,0.000111111111111111,0.000166666666666667,0,0,0,0,0.00483333333333333,0.000333333333333333,0,0,0.000444444444444444,0.000111111111111111,0.000833333333333333,0,0
