"Time","Pasteurellaceae","Streptococcaceae","Veillonellaceae","Bacteroidaceae","Ruminococcaceae","Muribaculaceae","Lachnospiraceae","Acidaminococcaceae","Burkholderiaceae_A_595427","Coprobacillaceae","Desulfovibrionaceae","Oscillospiraceae_88309","UBA1381","Butyricicoccaceae","Gammaproteobacteria_Class","Turicibacteraceae","Peptostreptococcaceae_256921","Erysipelotrichaceae","Acutalibacteraceae","Fusobacteriaceae_993521","Peptoniphilaceae","Clostridiaceae_222000","CAG-74","Akkermansiaceae","Anaerotignaceae","Dialisteraceae","Bacteria_Kingdom","Porphyromonadaceae","Massilibacillaceae","Rikenellaceae","Eggerthellaceae","Oscillospirales_Order"
24,0.000277777777777778,0.000277777777777778,0.000111111111111111,0.802666666666667,0.0231111111111111,0,0.0701666666666667,0.0308333333333333,0,5e-04,0.00216666666666667,0.0107222222222222,0,5e-04,0,0,0.000777777777777778,0.000388888888888889,0.000388888888888889,0.000222222222222222,0.000111111111111111,0.000111111111111111,0,0.0313333333333333,0.00305555555555556,0.000111111111111111,0.0185,0.000222222222222222,0,0,0,0.00311111111111111
25,0,0.000833333333333333,0,0.628277777777778,0.0278888888888889,5.55555555555556e-05,0.096,0.0212222222222222,0,0.0025,0.00644444444444444,0.0138888888888889,0,0.00116666666666667,0,0.000611111111111111,0.00161111111111111,0.000833333333333333,0.000777777777777778,0.000888888888888889,0.000111111111111111,0,0,0.0304444444444444,0.00194444444444444,0,0.159777777777778,0,0,0,0,0.00472222222222222
26,0,0.000446677833612507,0,0.695533221663875,0.0436627582356226,5.58347292015634e-05,0.0812395309882747,0.0256839754327191,0,0.0016750418760469,0.00742601898380793,0.0144611948632049,0,0.000837520938023451,0,0.000279173646007817,0.00117252931323283,0.000725851479620324,0.000614182021217197,0.000390843104410944,5.58347292015634e-05,5.58347292015634e-05,0,0.0341708542713568,0.00240089335566723,0,0.0849804578447795,5.58347292015634e-05,0,0,0,0.00402010050251256
27,0,0.000166666666666667,0,0.763055555555556,0.0568888888888889,0.000111111111111111,0.0672222222222222,0.0298888888888889,0,0.000944444444444444,0.00827777777777778,0.0152777777777778,0,5e-04,0,0,0.000666666666666667,0.000611111111111111,0.000555555555555556,0,0,0.000277777777777778,0,0.0396111111111111,0.00311111111111111,0,0.00933333333333333,0.000111111111111111,0,0,0,0.00327777777777778
28,5.55555555555556e-05,0,0,0.762222222222222,0.0303333333333333,0.000333333333333333,0.0619444444444444,0.0205,0,0.000777777777777778,0.0124444444444444,0.02,0,5e-04,0,0,0.000944444444444444,0.000333333333333333,5e-04,0,0,0.000777777777777778,0,0.0432777777777778,0.00327777777777778,0,0.0366111111111111,0,0,0,0,0.00516666666666667
29,0.000111111111111111,0.000333333333333333,0.000166666666666667,0.720833333333333,0.0316111111111111,0.000166666666666667,0.112666666666667,0.036,0,0.000388888888888889,0.00866666666666667,0.0165,0,0.00105555555555556,0,0,0.000333333333333333,0.000777777777777778,0.000111111111111111,0.000722222222222222,0,5.55555555555556e-05,0,0.0596666666666667,0.004,0.000555555555555556,0.000833333333333333,0.000611111111111111,0,0,0,0.00383333333333333
30,0,0.000166666666666667,0,0.7185,0.00583333333333333,0.000333333333333333,0.0864444444444444,0.038,0,0.001,0.00844444444444444,0.0165,0,0.000888888888888889,0,0.000111111111111111,0.00122222222222222,0.000722222222222222,0.00111111111111111,0.000166666666666667,0,0,0,0.0506666666666667,0.00605555555555556,0,0.0623333333333333,0,0,0,0.000111111111111111,0.00138888888888889
31,5.55555555555556e-05,0.000333333333333333,0,0.720722222222222,0.0221111111111111,0.000222222222222222,0.107333333333333,0.0489444444444444,0,0.000555555555555556,0.00616666666666667,0.0173333333333333,0,0.00133333333333333,0,0.000388888888888889,5e-04,0.000611111111111111,0.000777777777777778,0,0,0.000333333333333333,0,0.0448888888888889,0.00511111111111111,0,0.0205555555555556,0,0,0,0,0.00172222222222222
32,0.000388888888888889,0.000277777777777778,0,0.718722222222222,0.0330555555555556,0.000166666666666667,0.104833333333333,0.0477222222222222,0.000277777777777778,0.000277777777777778,0.00544444444444444,0.0157222222222222,0,0.001,0,0.000444444444444444,5e-04,0.000555555555555556,0.000666666666666667,0,0,0.000333333333333333,0,0.0456111111111111,0.00566666666666667,0,0.0167222222222222,0,0,0,0,0.00161111111111111
33,0.000833333333333333,0.000277777777777778,0,0.719277777777778,0.0412222222222222,0.000166666666666667,0.1035,0.0477777777777778,0.00122222222222222,0.000388888888888889,0.00561111111111111,0.0146111111111111,0,0.00127777777777778,5.55555555555556e-05,5e-04,0.000444444444444444,0.000666666666666667,5e-04,0,0,0.000222222222222222,0,0.0417222222222222,0.00511111111111111,0,0.0132777777777778,0,0,0,0,0.00127777777777778
