"Time","Veillonellaceae","Streptococcaceae","Moraxellaceae","Dialisteraceae","Lactobacillaceae","Burkholderiaceae_A_592522","Bacteroidaceae","Lachnospiraceae","Ruminococcaceae","Coprobacillaceae","Peptostreptococcaceae_256921","Oscillospiraceae_88309","Acidaminococcaceae","Butyricicoccaceae","Eggerthellaceae","Muribaculaceae","Clostridia_258483_Class","UBA1381","CAG-138","CAG-74","Anaerotignaceae","UBA660","Xanthomonadaceae_616009","Gammaproteobacteria_Class","Rikenellaceae","Monoglobaceae","Akkermansiaceae","Enterobacteriaceae_A","Bacteria_Kingdom","Clostridiaceae_222000","Erysipelotrichaceae","Acutalibacteraceae","Anaerovoracaceae","CAG-272","Oscillospirales_Order","CAG-382","Peptoniphilaceae","CAG-508","Massilibacillaceae"
161,0.000111111111111111,5.55555555555556e-05,0.000111111111111111,0.00488888888888889,0.000388888888888889,0,0.437944444444444,0.168833333333333,0.308388888888889,0.0111666666666667,0.00166666666666667,0.0152777777777778,0.0186111111111111,0.00194444444444444,0.00327777777777778,0,0,0,0,0,5e-04,0,0,0,0.001,0,0,0.00388888888888889,0.0141666666666667,0.000388888888888889,0.00383333333333333,0.000166666666666667,0.00155555555555556,0,0,0,0.000166666666666667,0,0
162,0,0.000666666666666667,0,0.00672222222222222,0.000277777777777778,0.0015,0.468388888888889,0.237277777777778,0.190111111111111,0.0136666666666667,0.00172222222222222,0.0176111111111111,0.0361111111111111,0.00116666666666667,0.00333333333333333,0,0.00138888888888889,0,0,0,0.000833333333333333,0,0,0,0.000888888888888889,0,0,0.000388888888888889,0.0142777777777778,0.000166666666666667,0.00111111111111111,0.000166666666666667,0.00138888888888889,0,0,0,0,0,0
163,0.000777777777777778,0.000444444444444444,0,0.00294444444444444,0.000166666666666667,0.00766666666666667,0.5415,0.234555555555556,0.141166666666667,0.0131111111111111,0.000166666666666667,0.0147777777777778,0.0228888888888889,5e-04,0.00394444444444444,0,0.00133333333333333,0,0,0,0.000611111111111111,0,0,0,0.00227777777777778,0,0,0.000944444444444444,0.00311111111111111,0.000222222222222222,0.00127777777777778,0.000555555555555556,0.00111111111111111,0,0,0,0,0,0
164,0.000111111111111111,0.000388888888888889,0,0.00138888888888889,0.000555555555555556,0.000555555555555556,0.606944444444445,0.224166666666667,0.0886111111111111,0.0107777777777778,0.00116666666666667,0.0131666666666667,0.0326111111111111,0.000944444444444444,0.00283333333333333,0,0.000777777777777778,0,0,0,0.000833333333333333,0,0,0,0.00127777777777778,0,0,0.0035,0.00361111111111111,0,0.00311111111111111,0.000388888888888889,0.000722222222222222,0,0,0,0.000666666666666667,0,0
165,0.000222222222222222,0.000444444444444444,0.000111111111111111,0.00166666666666667,5.55555555555556e-05,0.0015,0.6465,0.147833333333333,0.133055555555556,0.00255555555555556,0.000333333333333333,0.0156111111111111,0.033,0.00155555555555556,0.00127777777777778,0,0.000333333333333333,0,0,0,0.000388888888888889,0,5e-04,0.000222222222222222,0.00361111111111111,0,0,0.00144444444444444,0.0045,0,0.000944444444444444,0.000444444444444444,0.000333333333333333,0,0,0,0,0,0
166,0,0.000444444444444444,0,0.000888888888888889,5.55555555555556e-05,0,0.639611111111111,0.203777777777778,0.0619444444444444,0.00783333333333333,0.000388888888888889,0.0222222222222222,0.048,0.000777777777777778,0.00255555555555556,0,0.000333333333333333,0,0,0,0.00155555555555556,0,0,0,0.00338888888888889,0,0,0.000333333333333333,0.001,0.000444444444444444,0.00261111111111111,0.000888888888888889,0.000388888888888889,0,0,0,5e-04,0,0
167,0,0.000444444444444444,0.000111111111111111,0.000388888888888889,0.000611111111111111,0,0.545388888888889,0.226888888888889,0.0383888888888889,0.0375555555555556,0.000611111111111111,0.0248888888888889,0.0479444444444444,0.00116666666666667,0.00233333333333333,0,0.000222222222222222,0,0,0,0.00266666666666667,0,0,0,0.00488888888888889,0,5.55555555555556e-05,0,0.0323333333333333,0.00116666666666667,0.0296111111111111,0.00155555555555556,0.000444444444444444,0,0,0,0,0,0
168,0,0.00122222222222222,0,0.000111111111111111,0.000888888888888889,0,0.158444444444444,0.312611111111111,0.00855555555555556,0.153888888888889,0.00133333333333333,0.0217222222222222,0.000666666666666667,0,0.0593888888888889,0,0,0,0,0,0.000333333333333333,0,0,0,0.00316666666666667,0,0.000333333333333333,0,0.261333333333333,0.000222222222222222,0.00666666666666667,0.00166666666666667,0.00427777777777778,0,0,0,0.000111111111111111,0,0
169,0,0.00122222222222222,0,0,0.001,0.000833333333333333,0.1135,0.521444444444444,0.106777777777778,0.151722222222222,0.000222222222222222,0.0152777777777778,0.0133333333333333,0.000722222222222222,0.0196111111111111,0,0.00127777777777778,0,0,0,0.00205555555555556,0,0,0.000166666666666667,0.00155555555555556,0,0.000222222222222222,0.000722222222222222,0.0136111111111111,0,0.0282222222222222,0.00133333333333333,0.00233333333333333,0,0,0,0,0,0
170,0,0.000666666666666667,0.000111111111111111,0.000222222222222222,0.000722222222222222,0.000777777777777778,0.287777777777778,0.365833333333333,0.155444444444444,0.0863333333333333,0.000555555555555556,0.0156666666666667,0.024,0.000666666666666667,0.00827777777777778,0,0.000611111111111111,0,0,0,0.00161111111111111,0,0,0.000666666666666667,0.00794444444444444,0,0.0015,0.000333333333333333,0.0141111111111111,0,0.0187777777777778,0.00183333333333333,0.0015,0,0,0,5e-04,0,0
