"Time","Bacteroidia","Clostridia_258483","Negativicutes","Gammaproteobacteria","Bacilli","Desulfovibrionia","Fusobacteriia","Verrucomicrobiae","Bacteria_Kingdom","Coriobacteriia"
103,0.719111111111111,0.208666666666667,0.0333333333333333,0.00883333333333333,0.00411111111111111,0.00538888888888889,5.55555555555556e-05,0.0147777777777778,0.00533333333333333,5.55555555555556e-05
104,0.674777777777778,0.261888888888889,0.0352222222222222,0.0112222222222222,0.00427777777777778,0.00322222222222222,0,0.00922222222222222,0.000111111111111111,5.55555555555556e-05
105,0.681222222222222,0.252277777777778,0.0351111111111111,0.0118333333333333,0.004,0.00311111111111111,5.55555555555556e-05,0.0111111111111111,0.00122222222222222,5.55555555555556e-05
106,0.689944444444444,0.238833333333333,0.0336666666666667,0.0111666666666667,0.00388888888888889,0.004,0.000222222222222222,0.0143333333333333,0.00383333333333333,0.000111111111111111
107,0.697388888888889,0.227111111111111,0.0302222222222222,0.00961111111111111,0.00327777777777778,0.00411111111111111,5e-04,0.0199444444444444,0.00777777777777778,5.55555555555556e-05
108,0.706388888888889,0.209722222222222,0.0281111111111111,0.00816666666666667,0.00288888888888889,0.0045,0.000666666666666667,0.0271111111111111,0.0123333333333333,0.000111111111111111
109,0.714833333333333,0.193277777777778,0.0249444444444444,0.00705555555555556,0.00244444444444444,0.00538888888888889,0.000944444444444444,0.0337222222222222,0.0173333333333333,5.55555555555556e-05
110,0.723055555555556,0.180111111111111,0.0211111111111111,0.00577777777777778,0.00205555555555556,0.0065,0.00122222222222222,0.039,0.0211111111111111,5.55555555555556e-05
111,0.732,0.1685,0.019,0.00455555555555556,0.00222222222222222,0.00644444444444444,0.00144444444444444,0.0421666666666667,0.0235555555555556,0.000111111111111111
112,0.732777777777778,0.164,0.0177777777777778,0.00438888888888889,0.00216666666666667,0.00677777777777778,0.00122222222222222,0.0452777777777778,0.0255,0.000111111111111111
113,0.790444444444444,0.175,0.0192777777777778,0.00827777777777778,0.00305555555555556,0.0015,0,0.002,0.000444444444444444,0
114,0.724333333333333,0.204388888888889,0.0315555555555556,0.0338333333333333,0.00544444444444444,0.000277777777777778,0,0,0.000166666666666667,0
115,0.721222222222222,0.188,0.0418333333333333,0.0227777777777778,0.00561111111111111,0.00477777777777778,0,0.0045,0.011,0.000277777777777778
116,0.769944444444444,0.136722222222222,0.0543333333333333,0.0227222222222222,0.00427777777777778,0.002,0,0.00633333333333333,0.00366666666666667,0
117,0.744555555555556,0.179111111111111,0.0306666666666667,0.0262222222222222,0.00411111111111111,0.00383333333333333,0,0.00961111111111111,0.00183333333333333,5.55555555555556e-05
118,0.614,0.292555555555556,0.0202222222222222,0.0221666666666667,0.00555555555555556,0.0112222222222222,0,0.0315,0.00166666666666667,0.00111111111111111
119,0.660111111111111,0.274611111111111,0.0207222222222222,0.0114444444444444,0.00788888888888889,0.00372222222222222,0,0.00127777777777778,0.0200555555555556,0.000166666666666667
120,0.723388888888889,0.232055555555556,0.0163888888888889,0.0155555555555556,0.00616666666666667,0.00238888888888889,0,0.00366666666666667,0,0.000388888888888889
121,0.747277777777778,0.163111111111111,0.0261666666666667,0.0176111111111111,0.0108888888888889,0.0111111111111111,0,0.0234444444444444,0.000222222222222222,0.000166666666666667
122,0.700888888888889,0.159611111111111,0.0106111111111111,0.00761111111111111,0.00422222222222222,0.0339444444444444,0.00405555555555556,0.0307222222222222,0.0465555555555556,0.000944444444444444
123,0.644333333333333,0.244944444444444,0.0421111111111111,0.0204444444444444,0.00827777777777778,0.0104444444444444,5.55555555555556e-05,0.0286666666666667,0.000277777777777778,0.000277777777777778
124,0.6535,0.242388888888889,0.0878333333333333,0.00977777777777778,0.004,0.002,0,0.000222222222222222,0.000277777777777778,0
125,0.592111111111111,0.228111111111111,0.0103333333333333,0.0165555555555556,0.00905555555555556,0.0287777777777778,0.001,0.0470555555555556,0.0665555555555556,0.000444444444444444
126,0.584166666666667,0.344833333333333,0.0329444444444444,0.0147777777777778,0.0126666666666667,0.00872222222222222,0,0.000444444444444444,0.000111111111111111,0.000833333333333333
