"Time","Phocaeicola_A_858004","Anaerostipes","Faecalibacterium","Coprococcus_A_121497","Mediterraneibacter_A_155507","Butyrivibrio_A_180067","Bacteroides_H","other","Phascolarctobacterium_A","Paramuribaculum","Ruminococcus_E"
199,5779,1593,3003,0,1147,0,3836,2185,457,0,0
200,4229,826,4546,0,851,0,4808,2202,538,0,0
201,5268,747,3770,0,999,0,4066,2670,480,0,0
202,4616,604,3016,0,1213,0,4526,3364,661,0,0
203,3697,555,2626,0,1319,0,4926,4095,782,0,0
204,4431,1113,2979,0,1184,0,4058,3576,659,0,0
205,4959,1209,2013,0,1835,0,4294,2941,749,0,0
206,5669,1501,2102,0,1609,0,3432,2885,802,0,0
207,6144,1538,2114,0,1495,0,3156,3080,473,0,0
208,6512,1592,2168,0,1263,0,2764,3390,311,0,0
209,6661,999,3012,0,987,0,3060,2947,334,0,0
210,6848,192,3814,0,727,0,3673,2328,418,0,0
211,7213,156,2886,0,607,0,3635,2652,851,0,0
212,5075,978,3952,0,879,0,2926,3416,774,0,0
213,6261,1007,3644,0,883,0,3133,2522,550,0,0
214,6304,1056,2875,0,895,0,3807,2669,394,0,0
215,4842,27,345,0,148,0,6814,3891,1933,0,0
216,4713,111,508,0,157,0,6500,4196,1815,0,0
217,5068,614,1687,0,549,0,3782,5216,1084,0,0
218,5369,559,1870,0,555,0,3793,4743,1111,0,0
219,6038,459,2165,0,485,0,3695,4024,1134,0,0
220,6622,357,2433,0,425,0,3687,3324,1152,0,0
221,7123,246,2672,0,365,0,3621,2768,1205,0,0
222,7463,186,2899,0,314,0,3552,2447,1139,0,0
223,7660,148,3015,0,311,0,3581,2123,1162,0,0
224,7696,123,3049,0,307,0,3561,2048,1216,0,0
225,7669,101,3035,0,346,0,3605,2088,1156,0,0
226,6792,374,2797,0,680,0,3587,2734,1036,0,0
227,5487,873,2245,0,1278,0,3397,3907,813,0,0
228,4495,1179,1835,0,1738,0,3342,4851,560,0,0
229,1604,1105,5949,0,150,0,1739,7292,145,16,0
230,2619,1641,4988,0,167,0,2063,6412,86,24,0
231,2620,1949,4500,0,207,0,1991,6598,113,22,0
232,7012,901,3243,0,1055,0,2289,3042,458,0,0
233,7591,394,4377,0,394,0,3030,1672,542,0,0
234,7361,349,4396,0,351,0,3155,1759,629,0,0
235,7036,320,4594,0,280,0,3168,1928,674,0,0
236,6798,293,4594,0,294,0,3119,2097,805,0,0
237,6392,281,4726,0,263,0,3148,2295,895,0,0
238,5997,244,4669,0,254,0,3077,2733,1026,0,0
239,5553,269,4771,0,267,0,3073,2968,1099,0,0
240,5060,271,4944,0,266,0,3163,3165,1131,0,0
241,4605,266,5005,0,294,0,3156,3428,1246,0,0
242,3896,527,2386,0,680,0,4818,4210,1483,0,0
243,3473,657,2063,0,739,0,5104,4504,1460,0,0
244,2929,801,1759,0,827,0,5291,4954,1439,0,0
245,2511,948,1412,0,891,0,5368,5525,1345,0,0
246,2042,1156,1088,0,857,0,5426,6199,1232,0,0
247,1602,1334,825,0,904,0,5269,6933,1133,0,0
248,1229,1580,633,0,860,0,4939,7714,1045,0,0
249,946,1741,474,0,841,0,4420,8635,943,0,0
250,764,1883,403,0,808,0,3776,9492,874,0,0
251,660,2082,344,0,667,0,2978,10415,854,0,0
252,609,2332,308,0,587,0,2063,11288,813,0,0
