"Time","Phocaeicola_A_858004","Faecalibacterium","Gemmiger_A_73129","Anaerostipes","Fusicatenibacter","Blautia_A_141781","Faecalibacillus","Bacteroides_H","Agathobaculum","unknown_Genus_79","other"
55,0.148333333333333,0.200666666666667,0.0461666666666667,0.122666666666667,0.0287222222222222,0.120777777777778,0.0458888888888889,0.0908333333333333,0.0283888888888889,0.001,0.166555555555556
56,0.153277777777778,0.181388888888889,0.0497777777777778,0.107722222222222,0.0593333333333333,0.084,0.0752777777777778,0.0404444444444444,0.0726111111111111,0,0.176166666666667
57,0.126722222222222,0.318555555555556,0.0768888888888889,0.0533333333333333,0.0408888888888889,0.0860555555555556,0.103111111111111,0.0348333333333333,0.0220555555555556,0,0.137555555555556
58,0.244166666666667,0.251444444444444,0.0482777777777778,0.0562222222222222,0.0256666666666667,0.0565555555555556,0.0617777777777778,0.0936666666666667,0.0102777777777778,0.000222222222222222,0.151722222222222
59,0.114722222222222,0.245888888888889,0.0616666666666667,0.0590555555555556,0.0573333333333333,0.0922777777777778,0.0727777777777778,0.0461111111111111,0.0188888888888889,0,0.231277777777778
60,0.229777777777778,0.287333333333333,0.0692222222222222,0.0263888888888889,0.0325,0.0501111111111111,0.0388888888888889,0.0740555555555556,0.0105555555555556,0.000333333333333333,0.180833333333333
61,0.177055555555556,0.318611111111111,0.0708888888888889,0.0227777777777778,0.0113333333333333,0.0287777777777778,0.0229444444444444,0.174277777777778,0.0158888888888889,0,0.157444444444444
62,0.144277777777778,0.322944444444444,0.0705,0.0186666666666667,0.00661111111111111,0.0220555555555556,0.0173888888888889,0.211888888888889,0.0200555555555556,0,0.165611111111111
63,0.182163824433883,0.291417388873358,0.0475817724350014,0.0265585686329326,0.0159351411797596,0.0353368744758177,0.061168577019849,0.146882862734135,0.0171652222532849,5.59127760693318e-05,0.17573385518591
64,0.227611111111111,0.256222222222222,0.0248888888888889,0.0348888888888889,0.0251111111111111,0.0562222222222222,0.104222222222222,0.0692777777777778,0.0140555555555556,0.000277777777777778,0.187222222222222
65,0.227333333333333,0.256444444444444,0.0565555555555556,0.0357777777777778,0.0246666666666667,0.0713333333333333,0.100277777777778,0.0601111111111111,0.0232222222222222,5e-04,0.143777777777778
66,0.0947222222222222,0.16,0.0922777777777778,0.051,0.0517222222222222,0.141111111111111,0.115222222222222,0.0572777777777778,0.0242222222222222,5.55555555555556e-05,0.212388888888889
67,0.254111111111111,0.258888888888889,0.028,0.0631111111111111,0.025,0.0607222222222222,0.0873888888888889,0.0951111111111111,0.0105555555555556,0,0.117111111111111
68,0.309555555555556,0.231111111111111,0.0434444444444444,0.0249444444444444,0.00927777777777778,0.014,0.042,0.109777777777778,0.0111111111111111,0,0.204777777777778
69,0.190222222222222,0.140277777777778,0.0193333333333333,0.00444444444444444,0.00594444444444444,0.0100555555555556,0.0402777777777778,0.0718333333333333,0.0936111111111111,0.00561111111111111,0.418388888888889
70,0.316944444444444,0.231333333333333,0.0144444444444444,0.0583333333333333,0.0146666666666667,0.0250555555555556,0.0663888888888889,0.123055555555556,0.0271111111111111,0.00222222222222222,0.120444444444444
71,0.183277777777778,0.287666666666667,0.0182222222222222,0.072,0.0186666666666667,0.0388333333333333,0.0752777777777778,0.0726666666666667,0.0486111111111111,0.000388888888888889,0.184388888888889
72,0.110722222222222,0.303388888888889,0.02,0.0785,0.0240555555555556,0.0438888888888889,0.0760555555555556,0.0426666666666667,0.067,0,0.233722222222222
73,0.352333333333333,0.252833333333333,0.0188333333333333,0.0162222222222222,0.00505555555555556,0.0162777777777778,0.0224444444444444,0.117222222222222,0.00838888888888889,0.0219444444444444,0.168444444444444
74,0.369388888888889,0.206166666666667,0.0198888888888889,0.0111111111111111,0.00605555555555556,0.0122777777777778,0.0176111111111111,0.126888888888889,0.00677777777777778,0.0225555555555556,0.201277777777778
75,0.316528468767275,0.161138750690989,0.0305693753454948,0.0158098396904367,0.0188501934770592,0.0255942509673853,0.0230514096185738,0.108015478164732,0.00613598673300166,0.0187949143173024,0.27551133222775
76,0.236611111111111,0.140111111111111,0.0407222222222222,0.0253888888888889,0.031,0.0392222222222222,0.038,0.0745,0.00594444444444444,0.0152222222222222,0.353277777777778
77,0.159388888888889,0.382166666666667,0.0123888888888889,0.0376666666666667,0.0226666666666667,0.0325,0.0912777777777778,0.00111111111111111,0.0169444444444444,0.112222222222222,0.131666666666667
78,0.446388888888889,0.228222222222222,0.0109444444444444,0.0185,0.00783333333333333,0.0181666666666667,0.0160555555555556,0.0457222222222222,0.0111111111111111,0.034,0.163055555555556
79,0.3865,0.171222222222222,0.0131111111111111,0.0202777777777778,0.009,0.0232777777777778,0.0233333333333333,0.0418333333333333,0.0189444444444444,0.163722222222222,0.128777777777778
80,0.233611111111111,0.119111111111111,0.016,0.0155555555555556,0.00794444444444444,0.0328888888888889,0.0372777777777778,0.0229444444444444,0.0283333333333333,0.382833333333333,0.1035
81,0.0387222222222222,0.0695555555555556,0.0269444444444444,0.0871666666666667,0.0280555555555556,0.0742222222222222,0.148,0.00177777777777778,0.0254444444444444,0.333555555555556,0.166555555555556
82,0.0703888888888889,0.0745555555555556,0.0280555555555556,0.0764444444444444,0.0257777777777778,0.0685555555555556,0.142444444444444,0.00672222222222222,0.0242777777777778,0.3195,0.163277777777778
83,0.166611111111111,0.0902222222222222,0.0230555555555556,0.0563888888888889,0.0186111111111111,0.0538333333333333,0.1015,0.0182777777777778,0.0241111111111111,0.287111111111111,0.160277777777778
84,0.285166666666667,0.103722222222222,0.0233888888888889,0.0287777777777778,0.0107777777777778,0.0351111111111111,0.0540555555555556,0.0316666666666667,0.0213333333333333,0.254,0.152
85,0.375,0.0992777777777778,0.0202777777777778,0.0111666666666667,0.00361111111111111,0.0168888888888889,0.0212222222222222,0.0434444444444444,0.0153333333333333,0.232222222222222,0.161555555555556
86,0.359777777777778,0.0642777777777778,0.00933333333333333,0.0422222222222222,0.00166666666666667,0.00844444444444444,0.00988888888888889,0.0580555555555556,0.00761111111111111,0.239944444444444,0.198777777777778
87,0.325555555555556,0.0216111111111111,0,0.0764444444444444,0.000444444444444444,0.00472222222222222,0.00472222222222222,0.0697222222222222,0.00294444444444444,0.250277777777778,0.243555555555556
88,0.384055555555556,0.0515,0,0.0597777777777778,0.000555555555555556,0.0075,0.0065,0.0647777777777778,0.00483333333333333,0.189666666666667,0.230833333333333
89,0.272282577782834,0.100506228314658,0,0.0899266253341676,0.0100676867072408,0.0606336385871111,0.0693930948182697,0.0428303281952107,0.0122291109720721,0.115806836926227,0.226323872362209
90,0.147833333333333,0.143777777777778,5.55555555555556e-05,0.115888888888889,0.0191111111111111,0.108833333333333,0.127555555555556,0.0216666666666667,0.0183888888888889,0.0671111111111111,0.229777777777778
91,0.297722222222222,0.168,0,0.0326111111111111,0.00566666666666667,0.0445,0.0495555555555556,0.0326666666666667,0.0144444444444444,0.128555555555556,0.226277777777778
92,0.311111111111111,0.185833333333333,0,0.0296111111111111,0.00566666666666667,0.0341666666666667,0.0458333333333333,0.0337777777777778,0.0138888888888889,0.122666666666667,0.217444444444444
93,0.309277777777778,0.198944444444444,0,0.0230555555555556,0.00611111111111111,0.0237222222222222,0.0447777777777778,0.0361111111111111,0.0153888888888889,0.115888888888889,0.226722222222222
