"Time","Phocaeicola_A_858004","Faecalibacterium","Bacteroides_H","Lachnospira","unknown_Genus_4","Phascolarctobacterium_A","Mesosutterella","Blautia_A_141781","Akkermansia","unknown_Genus_55","other"
33,0.409444444444444,0.0391111111111111,0.293888888888889,0.0456111111111111,0.00672222222222222,0.0477777777777778,0.00122222222222222,0.00561111111111111,0.0417222222222222,0.0132777777777778,0.0956111111111111
34,0.405611111111111,0.0468888888888889,0.294722222222222,0.0427222222222222,0.00705555555555556,0.0457777777777778,0.00227777777777778,0.00611111111111111,0.0397777777777778,0.00994444444444444,0.0991111111111111
35,0.405833333333333,0.0572777777777778,0.292944444444444,0.0377777777777778,0.00672222222222222,0.0457222222222222,0.004,0.00622222222222222,0.0351111111111111,0.00833333333333333,0.100055555555556
36,0.404222222222222,0.0643888888888889,0.291333333333333,0.0305555555555556,0.00622222222222222,0.0455555555555556,0.00538888888888889,0.00638888888888889,0.0307777777777778,0.00605555555555556,0.109111111111111
37,0.405777777777778,0.0712222222222222,0.289111111111111,0.0245555555555556,0.00677777777777778,0.0446111111111111,0.00711111111111111,0.00705555555555556,0.0264444444444444,0.00472222222222222,0.112611111111111
38,0.405277777777778,0.0747777777777778,0.291055555555556,0.019,0.00683333333333333,0.0436111111111111,0.00888888888888889,0.00688888888888889,0.0207777777777778,0.00338888888888889,0.1195
39,0.401555555555556,0.0822222222222222,0.293222222222222,0.0141666666666667,0.00694444444444444,0.0417222222222222,0.00994444444444444,0.00733333333333333,0.0178333333333333,0.00238888888888889,0.122666666666667
40,0.397555555555556,0.0848888888888889,0.2965,0.0102777777777778,0.00722222222222222,0.0422777777777778,0.0119444444444444,0.008,0.0130555555555556,0.00216666666666667,0.126111111111111
41,0.385277777777778,0.0894444444444444,0.309666666666667,0.00755555555555556,0.00716666666666667,0.0399444444444444,0.0123333333333333,0.00822222222222222,0.0121111111111111,0.00188888888888889,0.126388888888889
42,0.379666666666667,0.0857222222222222,0.319555555555556,0.0075,0.00716666666666667,0.039,0.0125,0.00833333333333333,0.0103333333333333,0.00177777777777778,0.128444444444444
43,0.222944444444444,0.114833333333333,0.3945,0.0233333333333333,0.0159444444444444,0.0428333333333333,0.0125,0.0126666666666667,0.0131111111111111,0.00905555555555556,0.138277777777778
44,0.200888888888889,0.113888888888889,0.367111111111111,0.0320555555555556,0.0198888888888889,0.0756111111111111,0.00861111111111111,0.00905555555555556,0.002,0.0522777777777778,0.118611111111111
45,0.180055555555556,0.0899444444444444,0.316111111111111,0.00883333333333333,0.00733333333333333,0.0221666666666667,0.00366666666666667,0.00555555555555556,0,0.307777777777778,0.0585555555555556
46,0.342777777777778,0.109111111111111,0.214722222222222,0.0255555555555556,0.0291666666666667,0.0469444444444444,0.0215,0.00705555555555556,0,0.0525,0.150666666666667
47,0.360611111111111,0.0744444444444444,0.192277777777778,0.0401666666666667,0.0220555555555556,0.0458333333333333,0.0252777777777778,0.009,0,0.0941666666666667,0.136166666666667
48,0.370388888888889,0.0343888888888889,0.162888888888889,0.0508333333333333,0.0125,0.041,0.0269444444444444,0.0105,5.55555555555556e-05,0.177111111111111,0.113388888888889
49,0.232222222222222,0.0499444444444444,0.282222222222222,0.011,0.00788888888888889,0.0386666666666667,0.00144444444444444,0.005,0,0.280555555555556,0.0910555555555556
50,0.357111111111111,0.0448888888888889,0.267333333333333,0.0105,0.0234444444444444,0.0404444444444444,0.00288888888888889,0.00777777777777778,0,0.0986666666666667,0.146944444444444
51,0.335388888888889,0.0737777777777778,0.302777777777778,0.00483333333333333,0.0116111111111111,0.0433888888888889,0.0055,0.0095,0.000277777777777778,0.0842777777777778,0.128666666666667
52,0.3125,0.0498888888888889,0.303555555555556,0.00583333333333333,0.0175555555555556,0.0606111111111111,0.00627777777777778,0.0137222222222222,0.000222222222222222,0.100111111111111,0.129722222222222
53,0.292944444444444,0.0193333333333333,0.307888888888889,0.00788888888888889,0.0293333333333333,0.0697222222222222,0.00561111111111111,0.0142222222222222,0,0.121888888888889,0.131166666666667
54,0.444111111111111,0.0737777777777778,0.2325,0.0147777777777778,0.0483888888888889,0.0213888888888889,0.0121666666666667,0.00927777777777778,0,0.0211666666666667,0.122444444444444
55,0.362277777777778,0.101,0.193833333333333,0.0106111111111111,0.0532777777777778,0.016,0.00727777777777778,0.0343888888888889,0,0.0405555555555556,0.180777777777778
56,0.272277777777778,0.113833333333333,0.183333333333333,0.00555555555555556,0.0557777777777778,0.014,0.00238888888888889,0.0549444444444444,0,0.0593333333333333,0.238555555555556
