Time,Phocaeicola_A_858004,Anaerostipes,Faecalibacterium,Faecalibacillus,Mediterraneibacter_A_155507,Butyrivibrio_A_180067,Bacteroides_H,Paramuribaculum,unknown_Genus_39,unknown_Genus_59
70.0,0.8592703165250439,-4.858587222335496,-0.19206672810519154,-4.187421858923464,-4.572580271249474,-1.910814982782424,-0.38915453485490015,-1.9602632423665132,-5.260710482377287,-5.260710482377287
71.0,0.7999891615051077,-4.568516555420679,-0.13742766291341346,-3.815702764817445,-4.226097051936387,-2.8332367268408056,-0.6817797086589179,-2.3013579943064295,-5.33630250893783,-5.33630250893783
72.0,0.5298595777017121,-4.50764173159426,-0.22139767051120596,-4.031420280160241,-4.467781510869865,-3.017839542636221,-0.9277266333291989,-2.4520526812606542,-5.502738034130217,-5.350018207617207
73.0,0.6309019956172308,-4.673002635265443,-0.10682500249482652,-3.6886109705468453,-4.201513610114206,-2.4540617611811584,-0.823061836229406,-2.3773500636760794,-5.414935318120677,-5.414935318120677
74.0,0.9455736490304676,-4.722867583363158,-0.22313015153314897,-4.137764260072946,-4.569578621208632,-1.3637112938488254,-0.5793557241507405,-2.084676187603044,-5.229681647202585,-5.229681647202585
75.0,1.1408604744954336,-4.7600980970152715,-0.296772366273518,-4.318009809149096,-4.886946508826139,-0.8244635841932801,-0.39882401943223655,-1.7955385102006889,-5.0857957626662476,-5.0857957626662476
76.0,0.792231813381404,-4.586099163053541,-0.2176838471953737,-4.318928593310341,-4.782909441709448,-2.1248695082056708,-0.9577794728458753,-1.7304866151597924,-5.353885116570693,-5.353885116570693
77.0,1.2150814478569163,-4.448565547913928,-0.7692384844134468,-4.414871885852044,-4.92168594969147,0.34557039604419804,-0.20279419390438136,-1.6861582337726007,-4.92168594969147,-4.92168594969147
78.0,1.5413943909982954,-4.568522977796325,-0.6262909654392601,-4.346885647937074,-4.700979885263492,-0.9123208248297638,-0.2028482148066173,-1.0920432810168132,-4.8536997117765015,-4.8536997117765015
79.0,1.5616703173734048,-4.417988174057354,-0.6269866671824711,-4.2185354703246665,-4.417988174057354,-0.8916334275072968,-0.09730037551642168,-0.9146183664571059,-4.820111434099146,-4.820111434099146
80.0,1.4606039873608512,-4.600188801894363,-0.6980708055068394,-4.378551472035111,-4.043803413957192,-0.9134798657137653,-0.09405661433591206,-0.9386600186860306,-4.885365535874539,-4.885365535874539
81.0,1.3122228179660695,-4.795851050031339,-0.7753484373918804,-4.153138181954102,-4.20171266116098,-1.0300935794040862,-0.19475371638658712,-0.9871940551557234,-4.994700303871449,-4.94116000092044
82.0,1.147588596643255,-4.474396252511956,-0.9075688331582275,-4.390270621821607,-4.152082817100701,-1.1441929798335198,-0.2536814931944902,-1.0010477449392357,-5.105663863424719,-5.001304730075008
83.0,1.0203744765135623,-4.893446939819284,-0.9064904378188201,-4.385636031088991,-3.7073059198294827,-1.1721177432883167,-0.27799810864537244,-1.082206697308992,-5.17862367379946,-4.935679414781732
84.0,0.7886240522235224,-4.826837457974914,-1.0754269095450186,-4.51608173348767,-3.862333767844366,-1.3122448800200117,-0.4216306659505016,-1.1623546810708398,-5.3336515218143425,-4.969011127650402
85.0,0.670748272280371,-4.828173146883909,-1.1550290148244464,-4.466990136744258,-3.979668240874307,-1.4016910710372534,-0.42477149876084486,-1.190368892799761,-5.399148821745154,-4.926028419967611
86.0,0.5261701789698786,-4.904495267065928,-1.240069710569389,-4.657901153600501,-3.499316416121272,-1.4530787695915992,-0.4612177399504267,-1.237684368749939,-5.475470941927172,-5.322751115414163
87.0,0.3997047081038968,-4.961356969351569,-1.2756654439266852,-4.578751597888796,-3.7037666721045968,-1.4712951139969013,-0.47202753538865716,-1.2548423153450816,-5.532332644212814,-5.167692250048875
88.0,0.3455740449252618,-4.786501081928328,-1.2684359748478744,-4.579732936922842,-3.6995602742161564,-1.4406389166552527,-0.49433088369929434,-1.272227644155674,-5.55428703544548,-5.0474729716060525
89.0,0.2838996892945589,-5.147263686692321,-1.3080251307143127,-4.697629439645268,-3.730788698352721,-1.4890984830915779,-0.48754991001511305,-1.315686935024026,-5.585515459582045,-5.078701395742618
90.0,0.4269324240656964,-5.082920241414778,-1.2300366542338348,-4.70360222597783,-3.95360534983112,-1.6046678263613257,-0.39276253177152,-1.3464858625081861,-5.5211720143045016,-5.1954743486535255
91.0,0.6944213756944425,-4.95332143994537,-0.8773783207015868,-4.537874911660491,-4.125810446537261,-1.8098670588799797,-0.13821067491909145,-1.4700824427090073,-5.355444699987162,-5.2027248734741525
92.0,0.756463299407345,-5.005628699621457,-0.6389036167543076,-4.380538092530916,-4.425813148714061,-2.131688135180351,-0.005278256306307849,-1.4720035144663979,-5.2908054336016335,-5.2908054336016335
93.0,0.5497380183503808,-4.925137071725731,-0.3779066230209376,-4.11383862376105,-4.11383862376105,-1.3626536073001594,-0.0864485243948181,-1.5169465840708876,-5.327260331767523,-5.001562666116547
94.0,0.12649683937669964,-4.836705623358563,-0.8288669299255735,-4.002113435653123,-4.272177475450068,-2.2309908760772816,-0.6462712673250268,-1.7541272841557602,-5.67826774527591,-5.67826774527591
95.0,0.825399461493036,-4.4501733425226355,-1.0285579551141466,-4.340611528887569,-4.713589663635728,-2.206336410301282,-0.054740722082039284,-1.7110360595349152,-5.315165627410208,-5.315165627410208
96.0,0.26728365466097515,-3.909185744569632,-0.11700845527968973,-3.8250866898435087,-4.185302610319418,-3.059896867264032,-0.6047469612104817,-1.921982377052856,-5.521612040697523,-4.982202670549119
97.0,-0.32810660538828473,-4.061574236304136,-0.6581636493110848,-4.360270884151517,-4.483607039457057,-2.852684942106328,-1.2920725614694377,-2.5174482782687835,-5.916300997533459,-5.916300997533459
98.0,1.244066150640836,-4.393851141141656,-1.0828594484579508,-4.526575043113178,-4.911286513051891,-0.13149456610402055,0.04025093886601372,-1.5352125717649754,-4.964826816002901,-4.964826816002901
99.0,0.6687535160805759,-2.2668865711972677,-0.2665491269778384,-3.171261670938562,-3.882046960481963,-3.464788614104875,-0.3908436567335729,-1.9976964375688702,-5.353364714451939,-5.353364714451939
100.0,0.9391897318923423,-2.8255482617654906,-0.4421496448662543,-3.6702806006655857,-4.190963563181347,-4.465446585296013,-0.43263053842305954,-2.2292274846472218,-5.2837306661626355,-5.2837306661626355
101.0,1.2180495971949645,-4.951669020593321,-0.9560328552329598,-4.995764025770939,-4.829972885447109,-5.1946132796110485,-0.41063650169152477,-2.463180446063066,-5.1946132796110485,-5.1946132796110485
102.0,1.1623617347980972,-5.109656971337907,-2.9213689269490355,-4.707533711296117,-5.056116668386899,-5.109656971337907,0.2882479707497141,-0.8718703981606737,-5.109656971337907,-4.956937144824899
103.0,1.0844929614953123,-4.559211543852711,-2.1931621280155325,-4.767790721616395,-5.075755531615712,-5.121884958942813,-0.15997874782875687,-1.8203493014834462,-5.274604785455822,-5.274604785455822
104.0,0.6998536422281924,-4.490496903394025,-0.8593397781324537,-4.336885930712655,-4.697265048399511,-5.465051001916661,-0.5282505045420425,-1.8098662752951349,-5.465051001916661,-5.465051001916661
105.0,1.9073322181149355,-4.546260272507191,-2.8297705884601374,-4.492719969556182,-4.546260272507191,-4.546260272507191,0.9110798378845522,-1.302115193301292,-4.546260272507191,-4.546260272507191
106.0,0.8626948322298721,-5.412906313527163,-3.5451295397820592,-5.362087483128461,-5.412906313527163,-5.466446616478172,-0.3205902212536522,-2.52570708106425,-5.466446616478172,-5.466446616478172
107.0,1.0806355066694966,-4.9013469065222655,-2.601111051843199,-5.249929863613048,-5.249929863613048,-5.303470166564058,-0.1595373531916231,-2.6159711610055782,-5.303470166564058,-5.303470166564058
108.0,1.3465937408940232,-4.595844469859427,-1.4895894529400504,-4.903809279858744,-5.102658533698855,-5.102658533698855,-0.09610703802941734,-2.708870648197723,-5.102658533698855,-5.102658533698855
109.0,0.4460889615264553,-3.714097843297882,-0.9926898629602112,-4.697810953952109,-4.858404357565658,-5.651392000276126,-0.8321681998208974,-2.338852275338921,-5.651392000276126,-5.651392000276126
110.0,0.27230067051122364,-4.681879666594676,-1.410070475679458,-4.645631982520308,-5.6210772272113045,-5.773797053724315,-0.9039280290034262,-2.1445435802210664,-5.773797053724315,-5.773797053724315
111.0,0.4522429130229243,-4.835025141968922,-1.5199528866346432,-4.620406032266936,-5.582961020106552,-5.689598590987552,-0.8228011536255673,-2.0968247261186326,-5.689598590987552,-5.689598590987552
112.0,0.7793179963495522,-4.873374303416746,-1.58259814507295,-4.661333577935209,-5.406695909048006,-5.512784447482172,-0.703389444935453,-2.080777086911497,-5.512784447482172,-5.512784447482172
113.0,1.1737170766321228,-4.788897992123955,-1.5850254336887812,-4.722468859124117,-5.158634324310192,-5.263341459384099,-0.5458957856574695,-2.0686887230220754,-5.263341459384099,-5.263341459384099
114.0,1.5437249874467807,-4.637208877931891,-1.5256756817944683,-4.848186559653346,-4.8963027577816565,-5.00009245021538,-0.3995351171421031,-2.050390570520099,-5.00009245021538,-5.00009245021538
115.0,1.7335346381190564,-4.496325294329628,-1.4584444652864352,-4.860965688493567,-4.756606555143856,-4.860965688493567,-0.39420466999116455,-2.021018796460261,-4.860965688493567,-4.860965688493567
116.0,0.737864282148356,-4.584829374488702,-0.8887621321512116,-4.741813684684667,-5.121131700121616,-5.559383473011339,-1.394045709561679,-2.6909249450690838,-5.559383473011339,-5.559383473011339
117.0,1.1025229063685775,-4.717368160004357,-1.1830665837749905,-4.954303729614897,-5.265403820827827,-5.318944123778836,-0.8941062852956014,-1.9671206599432394,-5.318944123778836,-5.318944123778836
118.0,1.3418613241114714,-5.046608796903528,-1.801072430658376,-5.09742762730223,-4.99824810374023,-5.150967930253239,-0.559094448361968,-1.61016218620719,-5.150967930253239,-5.150967930253239
119.0,0.656286577711349,-5.582522603847924,-3.1527963704493773,-5.534161910684626,-5.582522603847924,-5.686881737197635,-1.1576838939528138,-2.438455664417276,-5.686881737197635,-5.686881737197635
120.0,1.5281669049245683,-4.55577026998798,-1.1282830575276825,-4.55577026998798,-4.904353227078763,-4.957893530029772,-0.0646626798848906,-2.1809476964138943,-4.957893530029772,-4.7590442761896625
121.0,0.7763885772591334,-4.95146387295971,-1.2389260703195693,-4.716345253943903,-5.020026163909414,-5.458277936799138,-0.3837694312904647,-2.48326715048976,-5.458277936799138,-5.132580271148161
122.0,-0.07127537477184254,-4.085360496573789,-1.0252416783232237,-3.915160524068693,-4.4681914522970905,-5.913926468682006,-1.2113661959269129,-2.8100211628721867,-5.913926468682006,-5.913926468682006
123.0,-0.0011738499341742425,-4.240672103895415,-1.1829669281482664,-3.9662726914251687,-4.650311748997678,-5.92706380565203,-1.381387072004468,-2.7868068962115427,-5.92706380565203,-5.92706380565203
124.0,-0.017940541272894128,-4.228483312265325,-1.076469849172805,-3.9188177861273106,-4.648256606464987,-5.925008663119339,-1.4234870531325339,-2.838530519864668,-5.925008663119339,-5.925008663119339
125.0,-0.036794455886731026,-4.262126506449477,-1.0054652950417922,-3.7994328678669405,-4.53872671435584,-5.917486150905632,-1.36947730214751,-2.893174888001519,-5.917486150905632,-5.917486150905632
126.0,0.18104179239917473,-4.719248111759668,-1.3164649031171722,-4.297489267362982,-4.869959629300408,-5.8650559318363635,-1.3293518154224573,-2.662521299687355,-5.8650559318363635,-5.8650559318363635
127.0,0.4335844341250683,-5.244929879757268,-1.864555230551228,-5.0962090387778565,-5.631619423392661,-5.7843392499056705,-1.3137955587780845,-2.4344437503108067,-5.7843392499056705,-5.7843392499056705
128.0,0.5742209184970156,-4.844004930010471,-1.037346377889151,-5.005724961808177,-5.63699257272094,-5.63699257272094,-1.2055895069373643,-2.2217365412851913,-5.63699257272094,-5.583452269769931
129.0,0.21496200922372932,-4.878059843836715,-0.8297764047274951,-4.3263507212007095,-4.9926487405109405,-5.810218528837612,-1.4528136083672203,-2.932433952405596,-5.810218528837612,-5.810218528837612
130.0,0.008612829102697894,-4.117619904908311,-0.890123330895424,-3.6737676011936573,-4.477510984500604,-5.910204942577007,-1.7079868139502123,-2.9436524881113373,-5.910204942577007,-5.910204942577007
