Time,Phocaeicola_A_858004,Anaerostipes,Faecalibacterium,Coprococcus_A_121497,Mediterraneibacter_A_155507,Butyrivibrio_A_180067,Bacteroides_H,Phascolarctobacterium_A,Paramuribaculum,Ruminococcus_E
116.0,1.330503526845701,-3.992190129791357,-0.29612288745386683,-1.6950947802704448,-4.528492455424271,-4.966744228313994,-0.8014064648643342,-2.55307319135449,-2.098285700371739,-0.5498419843109903
117.0,1.753941376304061,-4.065949690068873,-0.5316481138395073,-2.258788464621922,-4.613985350892344,-4.667525653843352,-0.24268781536011774,-1.918341839952737,-1.3157021900077557,-0.35774252731844136
118.0,2.109687040864537,-4.278783080150462,-1.0332467139053105,-3.565572425173502,-4.230422386987164,-4.383142213500173,0.20873126839109757,-1.4869624786661717,-0.842336469454124,-0.06306625571806679
119.0,2.296448351021744,-3.942360830537528,-1.5126345971389816,-3.6084681909975163,-3.942360830537528,-4.04671996388724,0.48247787935758124,-1.1566344277349327,-0.7982938911068809,1.3531744436556723
120.0,1.7390957361188055,-4.344841438793743,-0.9173542263334458,-2.447893752005637,-4.693424395884526,-4.746964698835535,0.14626615130934617,-2.07835684974098,-1.9700188652196582,-2.892237937606213
121.0,0.9609068747860997,-4.766945575432743,-1.0544077727926031,-2.793455013373443,-4.835507866382448,-5.273759639272171,-0.19925113376349857,-2.469801742233441,-2.298748852962794,-2.528100903130643
122.0,0.23529661433806592,-3.77878850746388,-0.7186696892133155,-1.6406626442849777,-4.161619463187181,-5.607354479572097,-0.9047942068170043,-3.2085586204421914,-2.5034491737622786,-1.839326019066287
123.0,0.36122516929879367,-3.878273084662447,-0.8205679089152982,-1.488577808149071,-4.28791272976471,-5.564664786419062,-1.0189880527715003,-2.777503732626461,-2.424407876978575,-1.6940976853328786
124.0,0.34008836465307635,-3.8704544063393547,-0.7184409432468346,-1.5495249790804486,-4.290227700539016,-5.566979757193368,-1.0654581472065634,-2.890772567045949,-2.4805016139386975,-1.6160332705206129
125.0,0.34705418708441993,-3.8782778634783255,-0.6216166520706412,-1.5879950493730512,-4.1548780713846885,-5.533637507934481,-0.985628659176359,-2.8920915639522664,-2.509326245030368,-1.3907496637871364
126.0,0.5770975288189872,-4.323192375339856,-0.9204091666973597,-1.985617202831242,-4.473903892880596,-5.469000195416552,-0.9332960790026448,-2.195266032074398,-2.2664655632675426,-1.3243674272149462
127.0,0.8300258754708536,-4.848488438411483,-1.468113789205443,-2.5415443749298343,-5.235177982046876,-5.3878978085598845,-0.917354117432299,-1.8567047197870599,-2.038002308965021,-1.3099454747651484
128.0,0.8498128196851961,-4.56841302882229,-0.7617544767009703,-2.339765482537218,-5.361400671532759,-5.361400671532759,-0.9299976057491837,-2.1723742218526096,-1.9461446400970106,-2.0752486669847086
129.0,0.5927782980773919,-4.500243554983053,-0.4519601158738329,-1.8075367785995256,-4.6148324516572785,-5.432402239983951,-1.074997319513558,-2.6053928929951558,-2.5546176635519333,-1.3895351699296992
130.0,0.33826696783359966,-3.7879657661774093,-0.5604691921645224,-1.7042673238590949,-4.147856845769703,-5.580550803846105,-1.3783326752193106,-3.475814894560595,-2.613998349380436,-1.511960239134472
