"Time","Phocaeicola_A_858004","Bacteroides_H","Faecalibacterium","Paramuribaculum","Lachnospira","Parabacteroides_B_862066","Phascolarctobacterium_A","Ruminococcus_E","Gemmiger_A_73129","Prevotella"
141,4198,5388,1397,550,690,1014,327,481,329,0
142,4274,5092,939,826,567,1023,248,434,555,7
143,4122,4678,1061,738,525,893,243,1364,608,38
144,4386,5302,837,683,469,864,279,901,593,1
145,3835,5118,879,802,912,905,325,589,449,2
146,4029,6682,241,826,712,1214,327,414,174,5
147,3989,5265,500,840,855,1204,290,343,298,0
148,3285,4208,701,602,622,1237,224,246,670,636
149,4360,3840,1419,694,1617,986,307,250,571,0
150,4468,4030,1183,1271,754,958,299,463,792,0
151,1787,1756,620,338,226,483,142,838,1052,1830
152,2716,4502,678,709,546,1079,297,409,825,498
153,4509,4217,924,621,802,1153,233,365,745,39
154,1735,1298,613,64,397,225,110,421,586,2568
155,2750,2089,730,101,421,357,159,392,509,1923
156,4697,3743,935,212,445,618,244,364,440,689
157,5488,4795,1010,329,508,867,273,345,374,0
158,4948,4604,813,609,989,948,138,286,391,19
159,4202,3779,1634,502,830,576,211,556,714,12
160,5040,4276,1024,889,1069,752,122,254,401,6
161,5733,4510,951,807,581,824,108,141,457,142
162,5456,4490,981,743,604,793,159,329,546,98
163,4867,4459,1060,615,649,834,208,681,715,35
164,4287,4606,1166,547,713,822,242,843,799,4
165,2468,2642,703,262,337,482,155,430,483,3339
166,907,890,239,49,11,145,75,36,116,6359
167,4606,5936,893,803,462,1167,172,416,266,11
168,4690,6155,1284,748,454,1140,178,294,223,5
169,4766,6074,1671,671,468,1143,193,206,187,0
170,3903,4867,1261,698,867,1156,160,252,549,20
171,4944,5279,708,623,861,930,207,771,296,47
172,3551,4079,1020,383,744,809,210,1076,665,248
173,1807,1389,79,228,17,233,104,181,153,3671
174,998,939,58,132,4,105,63,70,133,3872
175,5330,4016,1261,469,1699,425,257,289,156,0
176,1457,1145,640,125,406,155,114,485,327,3321
177,1199,3343,388,110,99,134,122,122,259,3315
178,3011,3550,997,330,270,232,244,235,291,1887
179,4758,4181,1565,566,538,415,356,350,400,125
180,4004,5116,1571,504,659,666,283,334,617,1
181,4171,4580,1607,334,712,483,201,339,329,279
182,4155,4434,1040,523,843,513,292,1566,453,0
183,3744,4979,887,1024,599,807,396,1038,425,7
184,3774,5330,909,947,384,980,379,936,507,4
185,3969,5507,946,843,274,1079,370,800,555,0
186,5610,5844,653,499,409,785,302,234,357,2
187,5241,6634,414,341,640,514,291,225,217,0
188,4671,6671,461,496,462,552,349,329,434,68
189,3973,6467,618,744,269,581,401,383,634,170
190,4677,6119,1237,662,270,661,332,317,477,67
191,5279,6131,1565,580,296,774,245,215,268,1
192,5776,7040,535,519,357,775,253,164,148,4
193,4861,5412,481,544,395,785,287,750,369,14
194,5182,4968,442,522,445,733,483,969,381,1
195,5816,5893,1086,624,534,649,268,154,111,1
196,5898,4901,939,375,618,472,169,251,112,1
197,6591,4998,602,374,320,554,549,145,135,1
198,5459,5073,1093,444,261,569,452,395,91,6
199,5470,6089,904,475,162,656,390,888,34,0
200,6145,6335,1165,439,10,807,338,589,35,8
201,5367,6383,316,356,2,1052,406,1786,41,0
202,5312,5758,937,384,7,993,320,947,62,0
203,4936,5988,2131,493,41,755,311,292,31,0
204,5557,7446,901,474,104,842,188,216,27,0
205,7367,6567,624,293,161,706,154,234,26,0
206,2011,1702,637,129,80,294,87,432,106,872
207,3448,3604,815,222,257,662,173,300,185,415
208,4735,5558,952,335,357,938,301,167,234,0
209,4711,6281,738,402,289,873,368,191,167,0
210,5007,6262,1249,339,315,599,402,134,143,0
211,2913,3011,671,278,129,441,429,265,394,1347
212,3653,4291,498,493,43,544,392,124,383,924
213,4933,6516,1542,279,132,407,404,614,278,0
214,5062,5256,2180,486,208,479,229,426,258,2
215,2818,2905,803,324,84,297,173,666,387,1317
216,4394,6128,2163,503,305,506,309,549,122,3
217,4680,4509,2694,512,204,517,217,507,163,0
218,6263,5343,1791,551,146,574,209,196,115,5
219,2386,1781,1306,318,80,317,244,584,212,1892
220,4114,3275,985,451,107,474,324,435,204,1112
221,6618,5462,647,679,149,705,425,264,149,0
222,6131,5221,1119,415,89,913,296,290,359,3
223,7036,5490,820,307,68,789,245,237,234,2
224,3066,3303,950,233,147,606,194,693,828,91
225,4682,4995,1260,398,254,813,259,623,458,3
226,4748,5361,1323,615,256,894,304,553,422,5
227,5366,5478,2365,410,300,775,223,295,223,2
228,2037,1824,955,169,96,277,124,425,360,3314
229,4336,5270,3102,390,623,565,209,541,328,4
230,4601,5360,2661,401,469,579,297,508,381,1
231,4938,5422,2126,410,268,655,397,471,416,0
232,4034,5364,2482,509,274,973,274,242,341,0
233,4233,5402,2887,385,475,926,249,187,158,0
234,4253,5624,1516,422,242,1561,150,891,147,0
235,4183,5745,548,411,77,1892,97,1451,185,0
236,5050,6028,1351,409,192,1126,389,501,262,8
237,4650,5376,2208,393,543,975,334,352,210,8
238,5727,5646,1610,452,365,706,317,311,158,3
239,3745,6280,1379,239,339,640,569,434,322,19
240,5582,5365,2624,222,210,778,386,45,173,0
241,5233,6883,1433,206,279,645,407,201,164,0
242,4832,6501,1467,276,447,578,383,463,215,0
243,4301,5870,1707,436,689,541,329,620,276,0
244,3668,5642,2710,554,979,630,226,153,149,0
245,3814,6733,1841,468,659,599,432,184,137,35
