"Time","R","P","S"
308,0.40775022780682,0.303870317970361,0.288379454222819
309,0.408871977651479,0.302812831133802,0.288315191214719
310,0.409139111153957,0.300925479610527,0.289935409235515
311,0.409594985535198,0.3,0.290405014464802
312,0.40786560123231,0.299701550014441,0.292432848753249
313,0.40795492849232,0.298695045023354,0.293350026484326
314,0.406994619523444,0.29924096848578,0.293764411990776
315,0.408061420345489,0.298080614203455,0.293857965451056
316,0.409047206999327,0.295740794154408,0.295211998846265
317,0.407814525032401,0.295060720971536,0.297124753996064
318,0.406779661016949,0.294713592932251,0.298506746050799
319,0.404396972890124,0.293466807165437,0.302136219944439
320,0.403734737850132,0.290687096001915,0.305578166147953
321,0.403095203871401,0.289684250874419,0.30722054525418
322,0.401114473747418,0.289090647067301,0.309794879185281
323,0.399346907414522,0.286496350364964,0.314156742220515
324,0.398269646719539,0.284546983898101,0.31718336938236
325,0.396709323583181,0.281968632733571,0.321322043683248
326,0.396153846153846,0.279663461538462,0.324182692307692
327,0.39549436795995,0.278376817175315,0.326128814864735
328,0.391904235373299,0.278063554636796,0.330032209989904
329,0.391766971593645,0.274963890226288,0.333269138180067
330,0.390490886295689,0.273507570643264,0.336001543061047
331,0.388499975860571,0.271616858977454,0.339883165161976
332,0.386099086099086,0.27046657046657,0.343434343434343
333,0.383501683501684,0.268831168831169,0.347667147667148
334,0.381078606197889,0.268398477035038,0.350522916767073
335,0.378397883088766,0.269569401010344,0.35203271590089
336,0.376319722315962,0.269054620835945,0.354625656848093
337,0.374505261125591,0.267883000289603,0.357611738584805
338,0.371480910142692,0.266197454685692,0.362321635171616
339,0.369100366018108,0.264351762666153,0.366547871315739
340,0.367217524980784,0.264411990776326,0.36837048424289
341,0.364156293555054,0.264189936079204,0.371653770365742
342,0.36097889321602,0.264387710947642,0.374633395836338
343,0.358931150698122,0.265671641791045,0.375397207510833
344,0.355549116198203,0.266685984738723,0.377764899063073
345,0.354122417455107,0.267715775246187,0.378161807298706
346,0.350375505488157,0.269015983054111,0.380608511457732
347,0.34667181541729,0.270647294492446,0.382680890090264
348,0.341030967679598,0.272187062176917,0.386781970143485
349,0.338185836456231,0.273998270394926,0.387815893148842
350,0.335462798405303,0.275133291704693,0.389403909890004
351,0.333397516125927,0.275392317319727,0.391210166554347
352,0.328923313768883,0.279659386125277,0.39141730010584
353,0.324582453445959,0.282203877903628,0.393213668650413
354,0.32187320436698,0.282991764029879,0.395135031603141
355,0.319996161965074,0.284062559969296,0.39594127806563
356,0.316261879619852,0.28530287030815,0.398435250071998
357,0.313142967022402,0.286607057013749,0.40024997596385
358,0.30915205380735,0.29084794619265,0.4
359,0.304807692307692,0.292211538461538,0.402980769230769
360,0.3019422622777,0.293363535592077,0.404694202130223
361,0.299637243047158,0.295671100362757,0.404691656590085
362,0.29820076214365,0.297670155805316,0.404129082051035
363,0.294347448635092,0.300954953216938,0.40469759814797
364,0.293146477250912,0.3044250335957,0.402428489153388
365,0.292578725038402,0.308467741935484,0.398953533026114
366,0.293144660101348,0.309733244095994,0.397122095802658
367,0.291457766318101,0.31256267010457,0.395979563577329
368,0.28968330134357,0.315690978886756,0.394625719769674
369,0.289381507605201,0.317835036706492,0.392783455688307
370,0.289242300485274,0.321818094460193,0.388939605054533
371,0.290826347305389,0.323544910179641,0.38562874251497
372,0.292672413793103,0.324712643678161,0.382614942528736
373,0.294382668711656,0.325728527607362,0.379888803680982
374,0.296026108658092,0.328421961988865,0.375551929353043
375,0.29514656415185,0.332244113407016,0.372609322441134
376,0.294781314513419,0.334725622929569,0.370493062557012
377,0.293662242738988,0.336747451432968,0.369590305828044
378,0.293689204082611,0.338588336767454,0.367722459149935
379,0.295206659012629,0.339934940681209,0.364858400306162
380,0.295144702224348,0.344989237024635,0.359866060751017
381,0.295858271486713,0.346660282499402,0.357481446013886
382,0.297301190933538,0.349500576258164,0.353198232808298
383,0.297480526973747,0.353207039138379,0.349312433887874
384,0.298088009223674,0.356072252113759,0.345839738662567
385,0.29810975903035,0.359338175171949,0.342552065797701
386,0.298103241296519,0.3631212484994,0.338775510204082
387,0.299315494710641,0.365659853525442,0.335024651763917
388,0.299388028303691,0.367613310384395,0.332998661311914
389,0.298902579899885,0.372112052368117,0.328985367731998
390,0.298653019842611,0.375512962873558,0.325834017283831
391,0.30162703379224,0.378646384904207,0.319726581303553
